project-name,pom-jacoco,pom-cobertura,pom-javadoc,travis,gha,file-name,yml-codecov,yml-coveralls,yml-sonar,yml-jacoco,yml-cobertura,yml-javadoc,mvn-mvnw,candidate
debezium/debezium,No,No,Yes,No,Yes,release-contributors-list.yml,No,No,No,No,No,No,No,No
debezium/debezium,No,No,Yes,No,Yes,sanity-check.yml,No,No,No,No,No,No,No,No
debezium/debezium,No,No,Yes,No,Yes,server-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,sqlserver-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,testing-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,vitess-workflow.yml,No,No,No,No,No,No,Yes,Maybe
debezium/debezium,No,No,Yes,No,Yes,website-build-workflow.yml,No,No,No,No,No,No,No,No
liquibase/liquibase,Yes,No,Yes,No,Yes,build.yml,No,No,No,No,No,No,Yes,Maybe
spring-petclinic/spring-framework-petclinic,Yes,No,No,Yes,No,.travis.yml,No,No,Yes,No,No,No,Yes,No
Red5/red5-server,No,No,Yes,Yes,No,.travis.yml,No,No,No,No,No,No,No,No
quarkusio/quarkus,No,No,Yes,No,Yes,ci-actions-incremental.yml,No,No,No,No,No,No,Yes,Maybe
quarkusio/quarkus,No,No,Yes,No,Yes,ci-actions.yml.disabled,No,No,No,No,No,No,Yes,Maybe
quarkusio/quarkus,No,No,Yes,No,Yes,ci-fork-mvn-cache.yml,No,No,No,No,No,No,Yes,Maybe
quarkusio/quarkus,No,No,Yes,No,Yes,ci-sanity-check.yml,No,No,No,No,No,No,No,No
quarkusio/quarkus,No,No,Yes,No,Yes,cleanup-prs.yml.disabled,No,No,No,No,No,No,No,No
quarkusio/quarkus,No,No,Yes,No,Yes,codeql-analysis.yml,No,No,No,No,No,No,Yes,Maybe
quarkusio/quarkus,No,No,Yes,No,Yes,deploy-snapshots.yml,No,No,No,No,No,No,Yes,Maybe
quarkusio/quarkus,No,No,Yes,No,Yes,doc-build.yml,No,No,No,No,No,No,Yes,Maybe
quarkusio/quarkus,No,No,Yes,No,Yes,epicissues.yml,No,No,No,No,No,No,No,No
quarkusio/quarkus,No,No,Yes,No,Yes,jdk-early-access-build.yml,No,No,No,No,No,No,Yes,Maybe
